cust_no,shouxin_date,fpd4,if_t4,istrans,basic_lr_score,k3dq_jst_re_score,k3dq_basic_mix_score,k3dq_xgb_add_score,k3dq_bc1_score,k3dq_bc2_score,k3dq_v2new_score,k3dq_xgblr_score,k3dq_xgbkmos_score,k3dq_xgbkmos_flag,k3dq_v3m3k11_score,k3dq_transkmos_score,ali_rain_score,bj_jc_m36_consume_cnt,credit_repayment_score_bj_2,td_xyf_dq_score,td_zhixin_score,hds_36m_purchase_steady,hds_36m_total_purchase_cnt,hds_36m_month_max_purchase_money_excp_doub11_12,hds_36m_doub11_12_total_purchase_money,hds_phone_rich_rank,hds_mobile_rich,hds_mobile_reli_rank,hds_recent_consumme_active_rank,ab_local_ratio,ab_mobile_cnt,app_type,cust_gender,cust_id_area,cust_work_city,idcard_district_grade,idcard_rural_flag,immediate_relation_cnt,operation_sys,relation_contact_cnt,study_app_cnt,selffill_degree,selffill_is_have_creditcard,selffill_marital_status,ab_local_cnt,ab_prov_cnt,hds_mobile_reli_rank_Ma,hds_mobile_reli_rank_Mb,hds_mobile_reli_rank_M0,is_ios,is_male,shouxin_month,data_parts,set
160067188274,2020-12-22,0,1,1,0.05954346616765788,0.2643,-99.0,0.021384997000000003,0.055065,0.023876,0.053252,0.052165,,,,,74.76,6.0,646.0,9.9,640.0,0.4310716127773525,13.0,168.0,0.0,1.0,0.0,Ma,1.0,0.25,31.0,ios,男,622926.0,620103.0,,,4.0,iOS,6.0,0.0,10.0,0.0,20.0,8.0,4.0,1,0,0,1.0,1.0,2020-12,2.0,1train
150002533658,2020-07-27,0,1,1,,,,,,,,,,,,,24.85,9.0,847.0,5.3,642.0,1.8525667904865888,15.0,598.0,0.0,1.0,0.0,Ma,1.0,0.93,99.0,ios,男,513922.0,510114.0,,,1.0,iOS,4.0,0.0,5.0,1.0,10.0,93.0,5.0,1,0,0,1.0,1.0,2020-07,1.0,1train
160016027746,2020-07-11,0,1,1,,,,,,,,,,,,,89.68,4.0,385.0,15.9,594.0,0.1633317822242905,5.0,125.0,0.0,1.0,0.0,Ma,1.0,0.73,21.0,android,男,432421.0,430703.0,,,1.0,android,1.0,0.0,10.0,0.0,20.0,16.0,3.0,1,0,0,0.0,1.0,2020-07,1.0,1train
160043435598,2020-07-10,0,1,1,,,,,,,,,,,,,89.42,15.0,509.0,6.8999999999999995,635.0,0.0,9.0,46.71,106.82,2.0,1.0,Ma,1.0,0.76,55.0,android,男,360124.0,360124.0,4.0,1.0,1.0,android,11.0,1.0,10.0,1.0,10.0,44.0,7.0,1,0,0,0.0,1.0,2020-07,2.0,1train
160050235666,2020-01-01,0,1,1,,,,,,,,,,,,,-1.0,,,10.4,535.0,,,,,,0.0,M0,,0.0,375.0,android,男,532127.0,530000.0,,,10.0,android,14.0,0.0,30.0,1.0,10.0,0.0,23.0,0,0,1,0.0,1.0,2020-01,2.0,1train
160051149078,2020-02-02,0,1,1,,,,,,,,,,,,,65.32,,493.0,29.4,723.0,,,,,,0.0,M0,,0.12,201.0,android,男,532130.0,530629.0,,,8.0,android,12.0,0.0,5.0,0.0,20.0,24.0,13.0,0,0,1,0.0,1.0,2020-02,2.0,1train
160051323563,2020-02-07,0,1,1,,,,,,,,,,,,,87.09,18.0,619.0,5.8,588.0,2.19975918965407,30.0,2912.9,0.0,1.0,0.0,Ma,4.0,0.42,83.0,android,男,511621.0,511621.0,,,5.0,android,8.0,1.0,5.0,1.0,10.0,38.0,8.0,1,0,0,0.0,1.0,2020-02,1.0,1train
160052434244,2020-08-08,0,1,1,,,,,,,,,,,,,88.04,3.0,580.0,21.1,546.0,0.12116766148879407,7.0,29.9,0.0,1.0,0.0,Ma,1.0,0.48,199.0,android,男,452527.0,441900.0,,,0.0,android,8.0,0.0,15.0,0.0,20.0,98.0,8.0,1,0,0,0.0,1.0,2020-08,1.0,1train
160053227663,2020-04-06,0,1,1,,,,,,,,,,,,,56.38,,446.0,9.4,646.0,,,,,,0.0,M0,,0.96,182.0,android,男,410504.0,410400.0,4.0,1.0,0.0,android,2.0,0.0,15.0,1.0,20.0,179.0,4.0,0,0,1,0.0,1.0,2020-04,1.0,1train
160053566396,2020-04-13,0,1,1,,,,,,,,,,,,,76.26,,569.0,19.3,612.0,,,,,,0.0,M0,,0.81,48.0,android,男,430521.0,430100.0,1.0,0.0,2.0,android,4.0,0.0,5.0,0.0,10.0,43.0,4.0,0,0,1,0.0,1.0,2020-04,1.0,1train
160053694029,2020-04-19,0,1,1,,,,,,,,,,,,,85.93,17.0,563.0,11.799999999999999,605.0,0.8431556802504601,38.0,213.7,0.0,1.0,0.0,Ma,2.0,0.69,157.0,android,女,330523.0,420115.0,1.0,0.0,10.0,android,17.0,1.0,10.0,1.0,20.0,117.0,6.0,1,0,0,0.0,0.0,2020-04,1.0,1train
160053709874,2020-04-16,0,1,1,,,,,,,,,,,,,96.54,,680.0,11.5,631.0,,,,,,0.0,M0,,0.79,174.0,android,男,332527.0,331123.0,2.0,1.0,8.0,android,12.0,2.0,10.0,1.0,20.0,150.0,14.0,0,0,1,0.0,1.0,2020-04,2.0,1train
160056502087,2020-06-23,0,1,1,,,,,,,,,,,,,20.46,1.0,553.0,9.4,622.0,0.0,1.0,69.0,0.0,1.0,0.0,M0,1.0,0.5,4.0,android,男,320324.0,320508.0,3.0,1.0,1.0,android,1.0,1.0,20.0,0.0,10.0,3.0,2.0,0,0,1,0.0,1.0,2020-06,1.0,1train
160056956452,2020-07-02,0,1,1,,,,,,,,,,,,,93.67,4.0,651.0,12.9,598.0,0.4394445872975058,4.0,27.99,0.0,1.0,0.0,Ma,1.0,0.97,282.0,android,女,440824.0,440811.0,,,3.0,android,4.0,0.0,20.0,0.0,20.0,281.0,2.0,1,0,0,0.0,0.0,2020-07,1.0,1train
160057255655,2020-07-10,0,1,1,,,,,,,,,,,,,74.42,,557.0,10.7,592.0,,,,,,0.0,M0,,0.21,179.0,android,男,412828.0,320211.0,4.0,0.0,12.0,android,14.0,0.0,10.0,0.0,10.0,38.0,15.0,0,0,1,0.0,1.0,2020-07,1.0,1train
160057696745,2020-07-15,0,1,1,,,,,,,,,,,,,89.26,4.0,596.0,4.8,734.0,0.4472008317043926,8.0,126.8,0.0,1.0,0.0,Ma,1.0,0.71,37.0,android,男,511502.0,320509.0,,,5.0,android,8.0,0.0,15.0,1.0,20.0,27.0,7.0,1,0,0,0.0,1.0,2020-07,2.0,1train
160058280150,2020-07-25,0,1,1,,,,,,,,,,,,,59.11,12.0,553.0,12.0,614.0,0.6903002137140447,25.0,185.9,585.0,2.0,1.0,Ma,1.0,0.64,28.0,android,男,510121.0,330104.0,,,0.0,android,1.0,1.0,30.0,1.0,10.0,21.0,5.0,1,0,0,0.0,1.0,2020-07,1.0,1train
160058926330,2020-08-06,0,1,1,,,,,,,,,,,,,41.52,13.0,611.0,8.6,710.0,0.8186275149595766,44.0,90.31,50.0,,2.0,Ma,1.0,0.82,57.0,ios,男,142731.0,140826.0,2.0,0.0,3.0,iOS,5.0,0.0,20.0,1.0,20.0,47.0,7.0,1,0,0,1.0,1.0,2020-08,1.0,1train
160059138771,2020-08-10,0,1,1,,,,,,,,,,,,,26.12,11.0,618.0,5.2,619.0,1.4148348864219786,14.0,689.0,0.0,1.0,0.0,Ma,1.0,0.47,95.0,ios,男,341226.0,320104.0,4.0,1.0,4.0,iOS,14.0,0.0,20.0,0.0,10.0,45.0,9.0,1,0,0,1.0,1.0,2020-08,2.0,1train
160059702104,2020-08-20,0,1,1,,,,,,,,,,,,,81.5,,529.0,11.2,617.0,,,,,,0.0,M0,,0.76,50.0,android,男,533524.0,330110.0,,,5.0,android,6.0,0.0,15.0,0.0,20.0,39.0,4.0,0,0,1,0.0,1.0,2020-08,1.0,1train
160059876671,2020-08-24,0,1,1,,,,,,,,,,,,,72.48,1.0,539.0,5.1000000000000005,639.0,0.0,4.0,68.0,0.0,1.0,0.0,Ma,1.0,0.94,296.0,ios,男,410803.0,410803.0,2.0,1.0,4.0,iOS,9.0,0.0,10.0,1.0,10.0,283.0,11.0,1,0,0,1.0,1.0,2020-08,2.0,1train
160060398344,2020-09-03,0,1,1,,,,,,,,,,,,,-1.0,,612.0,6.8999999999999995,554.0,,,,,,0.0,M0,,0.92,643.0,android,男,152321.0,150502.0,,,9.0,android,19.0,0.0,20.0,1.0,20.0,597.0,10.0,0,0,1,0.0,1.0,2020-09,2.0,1train
160060583280,2020-09-07,0,1,1,,,,,,,,,,,,,59.97,2.0,628.0,11.5,558.0,,1.0,0.0,99.0,1.0,0.0,Ma,1.0,0.84,145.0,android,男,430321.0,430304.0,4.0,1.0,5.0,android,8.0,1.0,10.0,0.0,10.0,125.0,11.0,1,0,0,0.0,1.0,2020-09,2.0,1train
160061853456,2020-10-02,0,1,1,0.05669324782019172,0.2416,-99.0,0.017441045,0.01272,0.01455,,,,,,,88.21,7.0,560.0,8.0,600.0,0.3880325494187187,12.0,50.7,0.0,1.0,0.0,Ma,1.0,0.82,128.0,android,男,410521.0,110100.0,,,7.0,android,13.0,0.0,10.0,0.0,20.0,117.0,5.0,1,0,0,0.0,1.0,2020-10,1.0,1train
160062790203,2020-10-19,0,1,1,0.039937575686105925,0.2507,-99.0,0.015618878,0.019893,0.018691,,,,,,,63.71,9.0,585.0,2.4,708.0,0.8935203376655088,11.0,118.0,0.0,1.0,0.0,Ma,3.0,0.9,114.0,android,女,510923.0,510903.0,,,2.0,android,3.0,0.0,5.0,0.0,20.0,106.0,8.0,1,0,0,0.0,0.0,2020-10,1.0,1train
160063602419,2020-10-30,0,1,1,0.0415883455652882,0.3031,-99.0,0.010076865,0.019571,0.012047,,,,,,,53.65,6.0,633.0,8.1,695.0,1.4110387300037317,11.0,749.0,0.0,1.0,0.0,Ma,3.0,0.35,38.0,android,男,360429.0,441900.0,2.0,0.0,8.0,android,13.0,2.0,20.0,0.0,20.0,14.0,8.0,1,0,0,0.0,1.0,2020-10,2.0,1train
160064280554,2020-11-09,0,1,1,0.06573350676008807,0.2432,-99.0,0.016714105,0.045928,0.03119,-99.0,-99.0,,,,,4.7,6.0,638.0,5.2,716.0,0.3147459136122807,10.0,46.8,0.0,1.0,0.0,Ma,1.0,1.0,2.0,android,女,612526.0,610102.0,,,0.0,android,0.0,0.0,40.0,0.0,10.0,2.0,1.0,1,0,0,0.0,0.0,2020-11,1.0,1train
160065270516,2020-11-24,0,1,1,0.009154823448925195,0.2455,-99.0,0.00808934,0.007384999999999998,0.006247,0.009325,0.013763999999999998,,,,,53.17,20.0,551.0,3.9,657.0,1.6496925812498413,25.0,998.0,196.23,1.0,0.0,Ma,3.0,0.91,120.0,ios,女,320123.0,320116.0,1.0,0.0,11.0,iOS,16.0,0.0,10.0,1.0,20.0,109.0,7.0,1,0,0,1.0,0.0,2020-11,2.0,1train
160065315473,2020-11-24,0,1,1,0.06421651740067863,0.3227,-99.0,0.034226716000000004,0.054066,0.024889,0.066902,0.062009,,,,,61.04,,528.0,9.6,666.0,,,,,,0.0,M0,,0.95,143.0,android,男,522224.0,520623.0,,,10.0,android,10.0,0.0,5.0,0.0,20.0,141.0,3.0,0,0,1,0.0,1.0,2020-11,2.0,1train
160065746181,2020-11-30,0,1,1,0.0266792680176524,0.2269,-99.0,0.019663358,0.02152,0.017037,0.016025,0.020901,,,,,70.84,4.0,671.0,8.1,719.0,0.6475873890898424,7.0,218.0,0.0,1.0,0.0,Ma,3.0,0.49,44.0,android,女,511025.0,320113.0,,,4.0,android,7.0,0.0,10.0,1.0,20.0,23.0,7.0,1,0,0,0.0,0.0,2020-11,1.0,1train
160066240587,2020-12-07,0,1,1,0.01698381287381048,0.2306,-99.0,0.02162105,0.010383,0.012812,0.032255,0.025979,,,,,68.73,,685.0,9.4,583.0,,0.0,0.0,0.0,,0.0,Ma,1.0,0.86,72.0,ios,男,362426.0,360802.0,4.0,1.0,0.0,iOS,0.0,0.0,20.0,1.0,20.0,62.0,5.0,1,0,0,1.0,1.0,2020-12,1.0,1train
160066395424,2020-12-09,0,1,1,0.02527553466921717,0.2623,-99.0,0.014931171000000003,0.017762,0.02782,0.04053,0.014944,,,,,88.01,3.0,672.0,7.7,640.0,0.02842377260981912,3.0,199.0,0.0,1.0,0.0,Ma,1.0,0.64,86.0,android,男,360313.0,360313.0,3.0,0.0,8.0,android,10.0,1.0,15.0,1.0,20.0,55.0,6.0,1,0,0,0.0,1.0,2020-12,2.0,1train
160067184370,2020-12-22,0,1,1,0.09529022982978737,0.284,-99.0,0.028170506,0.035809,0.026969,0.064332,0.026664,,,,,88.31,2.0,655.0,5.1000000000000005,664.0,0.05638665132335938,5.0,45.9,0.0,1.0,0.0,Ma,1.0,0.94,32.0,android,男,445381.0,445381.0,,,1.0,android,4.0,1.0,5.0,0.0,10.0,31.0,2.0,1,0,0,0.0,1.0,2020-12,2.0,1train
160067269411,2020-12-23,0,1,1,0.027163178858776,0.2002,-99.0,0.020225279,0.022491,0.015794,0.052788,0.044939,,,,,23.42,5.0,520.0,6.8,658.0,0.2004899942014272,7.0,66.9,0.0,1.0,0.0,Ma,1.0,0.2,140.0,ios,男,130406.0,310100.0,2.0,0.0,4.0,iOS,9.0,0.0,10.0,1.0,10.0,29.0,10.0,1,0,0,1.0,1.0,2020-12,1.0,1train
160067408057,2020-12-25,0,1,1,0.02892302491087928,0.2317,-99.0,0.015526436,0.036871,0.020909,0.066735,0.022426,,,,,56.02,21.0,682.0,9.799999999999999,548.0,1.3936750643862288,26.0,698.0,0.0,1.0,0.0,Ma,2.0,0.68,188.0,android,女,130582.0,130582.0,1.0,1.0,1.0,android,4.0,0.0,15.0,0.0,10.0,143.0,6.0,1,0,0,0.0,0.0,2020-12,1.0,1train
160016676316,2020-06-10,0,1,1,,,,,,,,,,,,,87.73,47.0,555.0,3.5,494.0,1.0025706277125437,112.0,332.45,95.06,,2.0,Ma,3.0,0.9,9.0,ios,女,612429.0,610928.0,,,3.0,iOS,3.0,0.0,20.0,1.0,10.0,9.0,1.0,1,0,0,1.0,0.0,2020-06,1.0,1train
160038697422,2020-10-04,0,1,1,0.037192240576673946,0.264,-99.0,0.030494573,0.020894,0.013688,,,,,,,25.69,8.0,508.0,9.299999999999999,591.0,1.1055735781637228,16.0,210.11,0.0,1.0,0.0,Mb,2.0,0.45,54.0,android,女,412828.0,341221.0,4.0,0.0,5.0,android,8.0,0.0,5.0,0.0,20.0,25.0,8.0,0,1,0,0.0,0.0,2020-10,2.0,1train
160048104664,2020-01-09,0,1,1,,,,,,,,,,,,,65.93,,556.0,7.5,673.0,,,,,,0.0,M0,,0.0,129.0,ios,女,330424.0,330424.0,2.0,1.0,3.0,iOS,6.0,0.0,10.0,0.0,20.0,0.0,11.0,0,0,1,1.0,0.0,2020-01,2.0,1train
160053097384,2020-04-03,0,1,1,,,,,,,,,,,,,90.47,2.0,626.0,6.0,633.0,0.15802171290711686,2.0,48.0,0.0,1.0,0.0,Ma,2.0,0.72,376.0,android,男,610326.0,610326.0,,,9.0,android,14.0,1.0,20.0,1.0,20.0,278.0,24.0,1,0,0,0.0,1.0,2020-04,2.0,1train
160053226170,2020-04-06,0,1,1,,,,,,,,,,,,,83.75,,520.0,18.2,533.0,,,,,,0.0,M0,,0.85,140.0,android,男,520221.0,441303.0,,,11.0,android,16.0,0.0,10.0,1.0,20.0,132.0,5.0,0,0,1,0.0,1.0,2020-04,2.0,1train
160053337725,2020-04-09,0,1,1,,,,,,,,,,,,,88.87,1.0,638.0,20.5,646.0,0.0,1.0,116.0,0.0,1.0,0.0,Mb,1.0,0.33,15.0,android,男,522529.0,330603.0,,,2.0,android,2.0,0.0,5.0,0.0,10.0,5.0,4.0,0,1,0,0.0,1.0,2020-04,2.0,1train
160053764622,2020-04-17,0,1,1,,,,,,,,,,,,,99.19,11.0,564.0,14.8,546.0,0.7989881122978377,21.0,128.0,0.0,3.0,1.0,Ma,1.0,0.25,12.0,ios,女,522126.0,330100.0,,,6.0,iOS,7.0,0.0,10.0,0.0,20.0,3.0,4.0,1,0,0,1.0,0.0,2020-04,1.0,1train
160054023814,2020-06-09,0,1,1,,,,,,,,,,,,,84.65,4.0,727.0,4.4,656.0,0.7136278914423276,8.0,39.8,0.0,1.0,0.0,Ma,1.0,0.98,42.0,ios,男,441225.0,440111.0,4.0,0.0,4.0,iOS,5.0,0.0,10.0,1.0,10.0,41.0,2.0,1,0,0,1.0,1.0,2020-06,1.0,1train
160054728738,2020-05-10,0,1,1,,,,,,,,,,,,,81.65,,458.0,13.700000000000001,559.0,,,,,,0.0,M0,,0.42,22.0,ios,男,420982.0,330702.0,1.0,1.0,2.0,iOS,2.0,0.0,5.0,0.0,10.0,10.0,7.0,0,0,1,1.0,1.0,2020-05,1.0,1train
160055653653,2020-06-05,0,1,1,,,,,,,,,,,,,-1.0,,429.0,8.9,652.0,,,,,,0.0,M0,,0.62,146.0,android,男,360730.0,360702.0,1.0,1.0,8.0,android,10.0,1.0,5.0,1.0,10.0,92.0,11.0,0,0,1,0.0,1.0,2020-06,2.0,1train
160055702295,2020-06-07,0,1,1,,,,,,,,,,,,,88.56,6.0,597.0,6.0,680.0,,,,,,0.0,M0,,0.67,30.0,android,女,140225.0,140225.0,2.0,0.0,1.0,android,6.0,0.0,5.0,0.0,10.0,20.0,6.0,0,0,1,0.0,0.0,2020-06,2.0,1train
160056282337,2020-06-18,0,1,1,,,,,,,,,,,,,76.26,31.0,652.0,4.6,638.0,0.5877577099602839,35.0,195.0,99.8,2.0,0.0,Ma,1.0,0.67,3.0,ios,女,510525.0,440305.0,,,0.0,iOS,0.0,0.0,15.0,1.0,10.0,2.0,2.0,1,0,0,1.0,0.0,2020-06,1.0,1train
160057815566,2020-07-18,0,1,1,,,,,,,,,,,,,73.65,1.0,439.0,8.200000000000001,589.0,,1.0,0.0,0.0,1.0,0.0,Ma,1.0,0.96,52.0,ios,男,321084.0,321084.0,1.0,1.0,0.0,iOS,0.0,0.0,5.0,1.0,20.0,50.0,3.0,1,0,0,1.0,1.0,2020-07,1.0,1train
160058868359,2020-08-05,0,1,1,,,,,,,,,,,,,56.85,4.0,644.0,4.7,656.0,0.8638651179620377,11.0,268.0,0.0,1.0,0.0,Ma,1.0,0.31,26.0,android,男,342623.0,120100.0,2.0,0.0,0.0,android,2.0,1.0,30.0,1.0,10.0,9.0,5.0,1,0,0,0.0,1.0,2020-08,2.0,1train
160060497175,2020-09-05,0,1,1,,,,,,,,,,,,,54.07,3.0,505.0,9.000000000000002,622.0,0.0,2.0,1849.0,0.0,1.0,0.0,Ma,1.0,0.37,220.0,android,女,150202.0,150202.0,4.0,1.0,1.0,android,2.0,1.0,30.0,1.0,20.0,84.0,11.0,1,0,0,0.0,0.0,2020-09,1.0,1train
